gender,shoulder_to_hip,waist_to_hip,shoulder_to_waist,torso_aspect,symmetry,midline_offset,shape_label
female,1.0731,0.8603,1.2474,1.2002,0.9676,0.0047,hourglass
female,1.0736,0.8592,1.2495,1.2006,0.9798,0.0093,hourglass
female,1.0743,0.8577,1.2525,1.2041,0.9589,0.0104,hourglass
female,1.0683,0.8602,1.2418,1.2069,0.9868,0.0001,hourglass
female,1.0753,0.8485,1.2673,1.1877,0.9528,0.0037,hourglass
female,1.0707,0.8560,1.2508,1.2032,0.9905,0.0056,hourglass
female,1.0705,0.8595,1.2455,1.2044,0.9872,0.0100,hourglass
female,1.0688,0.8600,1.2429,1.2002,0.9519,0.0084,hourglass
female,1.0715,0.8585,1.2482,1.1949,0.9595,0.0014,hourglass
female,1.0626,0.8656,1.2275,1.1930,0.9573,0.0055,hourglass
female,1.0714,0.8672,1.2354,1.1913,0.9711,0.0089,hourglass
female,1.0722,0.8647,1.2401,1.2075,0.9890,0.0084,hourglass
female,1.0740,0.8494,1.2644,1.2044,0.9621,0.0083,hourglass
female,1.0654,0.8656,1.2307,1.1728,0.9523,0.0063,hourglass
female,1.0678,0.8611,1.2400,1.1999,0.9727,0.0010,hourglass
female,1.0757,0.8618,1.2481,1.1926,0.9673,0.0197,hourglass
female,1.0583,0.8628,1.2265,1.1908,0.9683,0.0184,hourglass
female,1.0715,0.8602,1.2457,1.2096,0.9971,0.0140,hourglass
female,1.0602,0.8568,1.2373,1.2268,0.9633,0.0249,hourglass
female,1.0710,0.8629,1.2412,1.2084,0.9857,0.0077,hourglass
female,1.0766,0.8590,1.2533,1.2040,0.9650,0.0156,hourglass
female,1.0746,0.8586,1.2515,1.2064,0.9923,0.0146,hourglass
female,1.0680,0.8641,1.2360,1.1853,0.9544,0.0081,hourglass
female,1.0648,0.8662,1.2293,1.2141,0.9605,0.0014,hourglass
female,1.0646,0.8517,1.2500,1.2178,0.9669,0.0137,hourglass
female,1.0640,0.8611,1.2357,1.1956,0.9591,0.0011,hourglass
female,1.0714,0.8585,1.2479,1.2011,0.9569,0.0005,hourglass
female,1.0717,0.8524,1.2573,1.1850,0.9634,0.0002,hourglass
female,1.0742,0.8534,1.2587,1.2041,0.9673,0.0104,hourglass
female,1.0733,0.8625,1.2444,1.1986,0.9586,0.0008,hourglass
female,1.0721,0.8620,1.2437,1.2011,0.9946,0.0076,hourglass
female,1.0707,0.8655,1.2371,1.1980,0.9552,0.0025,hourglass
female,1.0625,0.8569,1.2399,1.1950,0.9981,0.0070,hourglass
female,1.0654,0.8684,1.2268,1.2040,0.9926,0.0015,hourglass
female,1.0712,0.8587,1.2475,1.1894,0.9819,0.0010,hourglass
female,1.0666,0.8578,1.2435,1.1902,0.9984,0.0012,hourglass
female,1.0668,0.8639,1.2349,1.2152,0.9804,0.0067,hourglass
female,1.0670,0.8655,1.2329,1.1998,0.9730,0.0157,hourglass
female,1.0641,0.8613,1.2354,1.2112,0.9546,0.0100,hourglass
female,1.0742,0.8661,1.2403,1.1958,0.9666,0.0009,hourglass
female,1.0771,0.8628,1.2484,1.1898,0.9565,0.0079,hourglass
female,1.0650,0.8681,1.2269,1.2139,0.9789,0.0001,hourglass
female,1.0740,0.8599,1.2490,1.1874,0.9548,0.0086,hourglass
female,1.0763,0.8664,1.2423,1.2063,0.9790,0.0191,hourglass
female,1.0674,0.8556,1.2476,1.1896,0.9845,0.0048,hourglass
female,1.0766,0.8656,1.2438,1.2100,0.9866,0.0139,hourglass
female,1.0692,0.8675,1.2325,1.1843,0.9533,0.0041,hourglass
female,1.0712,0.8622,1.2423,1.1939,0.9931,0.0015,hourglass
female,1.0692,0.8662,1.2343,1.2112,0.9612,0.0248,hourglass
female,1.0718,0.8684,1.2342,1.1910,0.9556,0.0019,hourglass
female,1.0714,0.8586,1.2479,1.2137,0.9579,0.0121,hourglass
female,1.0736,0.8630,1.2440,1.2024,0.9765,0.0146,hourglass
female,1.0663,0.8644,1.2335,1.2104,0.9693,0.0185,hourglass
female,1.0641,0.8627,1.2335,1.1797,0.9522,0.0195,hourglass
female,1.0709,0.8584,1.2475,1.2033,0.9548,0.0031,hourglass
female,1.0762,0.8604,1.2509,1.2045,0.9609,0.0028,hourglass
female,1.0705,0.8588,1.2465,1.1882,0.9976,0.0035,hourglass
female,1.0698,0.8606,1.2431,1.2038,0.9990,0.0109,hourglass
female,1.0709,0.8645,1.2387,1.1942,0.9792,0.0022,hourglass
female,1.0682,0.8532,1.2521,1.2072,0.9895,0.0081,hourglass
female,1.0667,0.8543,1.2486,1.2070,0.9723,0.0116,hourglass
female,1.0758,0.8586,1.2529,1.2026,0.9973,0.0043,hourglass
female,1.0608,0.8681,1.2220,1.2137,0.9582,0.0165,hourglass
female,1.0698,0.8554,1.2507,1.1937,0.9980,0.0100,hourglass
female,1.0742,0.8547,1.2568,1.1984,0.9670,0.0190,hourglass
female,1.0840,0.8598,1.2608,1.2028,0.9940,0.0011,hourglass
female,1.0625,0.8634,1.2307,1.2035,0.9604,0.0126,hourglass
female,1.0716,0.8627,1.2422,1.1948,0.9717,0.0108,hourglass
female,1.0686,0.8600,1.2425,1.1996,0.9630,0.0037,hourglass
female,1.0595,0.8575,1.2356,1.2037,0.9681,0.0046,hourglass
female,1.0591,0.8604,1.2309,1.2088,0.9521,0.0138,hourglass
female,1.0648,0.8607,1.2372,1.1978,0.9813,0.0170,hourglass
female,1.0754,0.8559,1.2565,1.2025,0.9879,0.0122,hourglass
female,1.0685,0.8704,1.2277,1.2126,0.9891,0.0073,hourglass
female,1.0724,0.8668,1.2373,1.1853,0.9935,0.0018,hourglass
female,1.0676,0.8577,1.2448,1.1994,0.9995,0.0024,hourglass
female,1.0702,0.8611,1.2428,1.1906,0.9582,0.0089,hourglass
female,1.0678,0.8562,1.2471,1.2005,0.9975,0.0060,hourglass
female,1.0669,0.8596,1.2411,1.2079,0.9914,0.0049,hourglass
female,1.0692,0.8589,1.2448,1.2208,0.9831,0.0051,hourglass
female,1.0706,0.8596,1.2454,1.2012,0.9966,0.0033,hourglass
female,1.0603,0.8628,1.2289,1.2112,0.9659,0.0045,hourglass
female,1.0703,0.8560,1.2503,1.2024,0.9627,0.0003,hourglass
female,1.0542,0.8592,1.2269,1.1913,0.9517,0.0037,hourglass
female,1.0739,0.8636,1.2434,1.2013,0.9884,0.0017,hourglass
female,1.0603,0.8626,1.2292,1.2115,0.9947,0.0012,hourglass
female,1.0724,0.8640,1.2411,1.2034,0.9939,0.0057,hourglass
female,1.0625,0.8606,1.2346,1.1908,0.9950,0.0106,hourglass
female,1.0657,0.8627,1.2353,1.2050,0.9588,0.0002,hourglass
female,1.0708,0.8717,1.2284,1.2069,0.9574,0.0060,hourglass
female,1.0735,0.8580,1.2512,1.1923,0.9628,0.0023,hourglass
female,1.0753,0.8556,1.2567,1.2009,0.9989,0.0146,hourglass
female,1.0710,0.8646,1.2387,1.1964,0.9680,0.0032,hourglass
female,1.0688,0.8538,1.2517,1.1991,0.9823,0.0204,hourglass
female,1.0671,0.8579,1.2438,1.2030,0.9776,0.0162,hourglass
female,1.0677,0.8564,1.2468,1.2197,0.9781,0.0115,hourglass
female,1.0799,0.8584,1.2581,1.1929,0.9515,0.0030,hourglass
female,1.0727,0.8628,1.2433,1.1919,0.9927,0.0281,hourglass
female,1.0729,0.8526,1.2584,1.2085,0.9798,0.0094,hourglass
female,1.0727,0.8542,1.2558,1.2117,0.9701,0.0091,hourglass
female,1.0735,0.8603,1.2477,1.1934,0.9970,0.0062,hourglass
female,1.0717,0.8573,1.2501,1.1967,0.9986,0.0022,hourglass
female,1.0772,0.8652,1.2451,1.2099,0.9744,0.0022,hourglass
female,1.0706,0.8622,1.2416,1.2092,0.9815,0.0205,hourglass
female,1.0673,0.8635,1.2361,1.1989,0.9801,0.0069,hourglass
female,1.0724,0.8629,1.2427,1.2052,1.0000,0.0064,hourglass
female,1.0747,0.8564,1.2550,1.2125,0.9711,0.0063,hourglass
female,1.0675,0.8586,1.2433,1.1928,0.9859,0.0079,hourglass
female,1.0765,0.8652,1.2443,1.2072,0.9913,0.0011,hourglass
female,1.0715,0.8583,1.2483,1.2038,0.9655,0.0135,hourglass
female,1.0721,0.8555,1.2532,1.1828,0.9717,0.0192,hourglass
female,1.0691,0.8521,1.2546,1.2086,0.9772,0.0108,hourglass
female,1.0702,0.8643,1.2382,1.1956,0.9602,0.0009,hourglass
female,1.0673,0.8563,1.2465,1.1944,0.9843,0.0048,hourglass
female,1.0676,0.8636,1.2362,1.1918,0.9871,0.0209,hourglass
female,1.0637,0.8514,1.2494,1.2001,0.9866,0.0260,hourglass
female,1.0711,0.8605,1.2447,1.2015,0.9963,0.0005,hourglass
female,1.0744,0.8615,1.2471,1.2110,0.9902,0.0051,hourglass
female,1.0657,0.8569,1.2438,1.1907,0.9900,0.0021,hourglass
female,1.0786,0.8565,1.2593,1.1961,0.9846,0.0106,hourglass
female,1.0686,0.8663,1.2335,1.1966,0.9808,0.0095,hourglass
female,1.0751,0.8629,1.2459,1.1916,0.9598,0.0077,hourglass
female,1.0755,0.8610,1.2492,1.2060,0.9955,0.0004,hourglass
female,1.0785,0.8588,1.2558,1.2040,0.9783,0.0043,hourglass
female,1.0697,0.8639,1.2383,1.1888,0.9680,0.0093,hourglass
female,1.0619,0.8583,1.2372,1.1905,0.9761,0.0067,hourglass
female,1.0743,0.8672,1.2389,1.2080,0.9965,0.0225,hourglass
female,1.0709,0.8585,1.2473,1.1944,0.9618,0.0104,hourglass
female,1.0695,0.8589,1.2452,1.1950,0.9927,0.0128,hourglass
female,1.0817,0.8518,1.2699,1.1930,0.9973,0.0062,hourglass
female,1.0711,0.8533,1.2552,1.2060,0.9756,0.0035,hourglass
female,1.0771,0.8648,1.2454,1.2009,0.9696,0.0136,hourglass
female,1.0722,0.8641,1.2409,1.1964,0.9524,0.0198,hourglass
female,1.0738,0.8599,1.2487,1.1991,0.9912,0.0054,hourglass
female,1.0699,0.8498,1.2590,1.2022,0.9629,0.0036,hourglass
female,1.0614,0.8652,1.2268,1.2055,0.9545,0.0126,hourglass
female,1.0740,0.8628,1.2447,1.1871,0.9673,0.0080,hourglass
female,1.0722,0.8535,1.2562,1.2031,0.9542,0.0124,hourglass
female,1.0772,0.8478,1.2706,1.1938,0.9840,0.0048,hourglass
female,1.0725,0.8599,1.2474,1.1972,0.9604,0.0116,hourglass
female,1.0770,0.8493,1.2681,1.1955,0.9749,0.0145,hourglass
female,1.0754,0.8571,1.2547,1.2023,0.9645,0.0098,hourglass
female,1.0612,0.8562,1.2394,1.2054,0.9739,0.0159,hourglass
female,1.0674,0.8548,1.2487,1.1991,0.9657,0.0192,hourglass
female,1.0695,0.8584,1.2459,1.2066,0.9551,0.0086,hourglass
female,1.0610,0.8673,1.2234,1.1873,0.9776,0.0032,hourglass
female,1.0656,0.8492,1.2549,1.2004,0.9734,0.0039,hourglass
female,1.0670,0.8656,1.2327,1.2129,0.9737,0.0083,hourglass
female,1.0785,0.8564,1.2593,1.2075,0.9861,0.0146,hourglass
female,1.0678,0.8639,1.2361,1.2161,0.9742,0.0031,hourglass
female,1.0709,0.8686,1.2329,1.2216,0.9513,0.0180,hourglass
female,1.0744,0.8571,1.2535,1.1764,0.9878,0.0047,hourglass
female,1.0685,0.8611,1.2408,1.2096,0.9914,0.0123,hourglass
female,1.0728,0.8595,1.2482,1.2115,0.9884,0.0095,hourglass
female,1.0630,0.8546,1.2438,1.2197,0.9521,0.0084,hourglass
female,1.0664,0.8623,1.2367,1.2016,0.9529,0.0014,hourglass
female,1.0707,0.8523,1.2563,1.2131,0.9995,0.0021,hourglass
female,1.0731,0.8590,1.2492,1.2086,0.9764,0.0024,hourglass
female,1.0724,0.8480,1.2647,1.1976,0.9832,0.0034,hourglass
female,1.0657,0.8601,1.2391,1.1939,0.9923,0.0165,hourglass
female,1.0773,0.8591,1.2539,1.1957,0.9799,0.0243,hourglass
female,1.0682,0.8646,1.2355,1.2155,0.9645,0.0029,hourglass
female,1.0765,0.8637,1.2464,1.1845,0.9818,0.0076,hourglass
female,1.0698,0.8547,1.2517,1.1929,0.9687,0.0076,hourglass
female,1.0724,0.8598,1.2474,1.2108,0.9720,0.0172,hourglass
female,1.0686,0.8523,1.2538,1.2098,0.9857,0.0002,hourglass
female,1.0662,0.8643,1.2336,1.2000,0.9518,0.0001,hourglass
female,1.0638,0.8627,1.2330,1.1983,0.9694,0.0116,hourglass
female,1.0677,0.8611,1.2399,1.2017,0.9675,0.0022,hourglass
female,1.0651,0.8577,1.2417,1.2001,0.9965,0.0042,hourglass
female,1.0715,0.8600,1.2460,1.2055,0.9551,0.0111,hourglass
female,1.0690,0.8548,1.2505,1.2055,0.9781,0.0044,hourglass
female,1.0714,0.8624,1.2424,1.1936,0.9839,0.0005,hourglass
female,1.0638,0.8622,1.2338,1.2050,0.9969,0.0085,hourglass
female,1.0749,0.8592,1.2511,1.2101,0.9970,0.0047,hourglass
female,1.0575,0.8676,1.2189,1.2124,0.9623,0.0075,hourglass
female,1.0659,0.8633,1.2346,1.1943,0.9625,0.0143,hourglass
female,1.0729,0.8560,1.2533,1.1902,0.9803,0.0141,hourglass
female,1.0696,0.8648,1.2369,1.2058,0.9931,0.0104,hourglass
female,1.0741,0.8645,1.2425,1.2058,0.9675,0.0001,hourglass
female,1.0752,0.8707,1.2350,1.1865,0.9694,0.0005,hourglass
female,1.0620,0.8537,1.2441,1.1997,0.9649,0.0018,hourglass
female,1.0660,0.8524,1.2505,1.1993,0.9980,0.0137,hourglass
female,1.0772,0.8571,1.2568,1.2006,0.9853,0.0029,hourglass
female,1.0711,0.8553,1.2524,1.2078,0.9578,0.0094,hourglass
female,1.0703,0.8588,1.2463,1.1870,0.9758,0.0026,hourglass
female,0.9453,0.9848,0.9599,1.0139,0.9765,0.0087,pear
female,0.9486,0.9706,0.9773,1.0326,0.9676,0.0042,pear
female,0.9504,0.9833,0.9666,1.0220,0.9745,0.0010,pear
female,0.9547,0.9893,0.9651,1.0123,0.9803,0.0053,pear
female,0.9530,0.9820,0.9705,1.0171,0.9989,0.0124,pear
female,0.9482,0.9814,0.9662,1.0103,0.9835,0.0072,pear
female,0.9584,0.9849,0.9731,1.0115,0.9871,0.0187,pear
female,0.9518,0.9825,0.9688,1.0170,0.9874,0.0069,pear
female,0.9466,0.9875,0.9586,1.0227,0.9861,0.0042,pear
female,0.9465,0.9770,0.9688,1.0140,0.9527,0.0090,pear
female,0.9436,0.9798,0.9630,1.0248,0.9509,0.0037,pear
female,0.9550,0.9735,0.9810,1.0215,0.9763,0.0087,pear
female,0.9480,0.9811,0.9663,1.0184,0.9879,0.0039,pear
female,0.9506,0.9885,0.9617,1.0200,0.9995,0.0120,pear
female,0.9444,0.9859,0.9579,1.0144,0.9760,0.0066,pear
female,0.9486,0.9753,0.9726,1.0197,0.9665,0.0143,pear
female,0.9522,0.9758,0.9759,1.0072,0.9579,0.0025,pear
female,0.9493,0.9865,0.9623,1.0239,0.9821,0.0154,pear
female,0.9521,0.9776,0.9739,1.0148,0.9500,0.0103,pear
female,0.9519,0.9857,0.9657,1.0200,0.9935,0.0246,pear
female,0.9482,0.9946,0.9533,1.0105,0.9670,0.0064,pear
female,0.9548,0.9812,0.9731,1.0353,0.9776,0.0143,pear
female,0.9490,0.9748,0.9736,1.0081,0.9974,0.0035,pear
female,0.9481,0.9800,0.9675,1.0005,0.9878,0.0130,pear
female,0.9543,0.9830,0.9708,0.9960,0.9683,0.0003,pear
female,0.9453,0.9863,0.9584,0.9980,0.9610,0.0083,pear
